-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1924.0,1882.0,1840.0,1798.0,1756.0,1714.0,1671.4,1628.8,1586.2,1543.6,1501.0,1492.8,1484.6,1476.4,1468.2,1460.0,1451.8,1443.6,1435.4,1427.2,1419.0,1411.6,1404.2,1396.8,1389.4,1382.0,1373.8,1365.6,1357.4,1349.2,1341.0,1333.4,1325.8,1318.2,1310.6,1303.0,1294.4,1285.8,1277.2,1268.6,1260.0
1228.0,1201.6,1175.2,1148.8,1122.4,1096.0,1085.8,1075.6,1065.4,1055.2,1045.0,1036.2,1027.4,1018.6,1009.8,1001.0,993.0,985.0,977.0,969.0,961.0,953.0,945.0,937.0,929.0,921.0,913.0,905.0,897.0,889.0,881.0,872.8,864.6,856.4,848.2,840.0,832.2,824.4,816.6,808.8,801.0
802.0,771.6,741.2,710.8,680.4,650.0,620.8,591.6,562.4,533.2,504.0,499.6,495.2,490.8,486.4,482.0,477.6,473.2,468.8,464.4,460.0,455.6,451.2,446.8,442.4,438.0,433.2,428.4,423.6,418.8,414.0,410.0,406.0,402.0,398.0,394.0,390.0,386.0,382.0,378.0,374.0
