,Pressure Height FT,,,,,,,,,,,,,
OAT Degrees Celcius,,-10,-5,0,5,10,15,20,25,30,35,40,45,50
,10000,1271,1293,1316,1335,1358,1380,1402,1423,1444,,,,
,8000,1150,1171,1195,1212,1233,1255,1276,1299,1321,1341,,,
,6000,1053,1073,1095,1111,1130,1149,1168,1187,1207,1228,1248,,
,4000,967,984,998,1013,1034,1049,1069,1088,1103,1123,1141,1160,
,2000,882,895,913,929,946,963,979,992,1007,1026,1044,1057,1071
,0,805,819,835,849,866,879,893,907,924,935,952,965,983
